,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,780,Dcover Jcover-fuzz,time(Seconds):,1411,Jcover test verification on,time(Seconds):,725
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
jDMN: Core,org.omg.spec.dmn._20151101.model,TDecisionTableOrientation,n/a,n/a,Could not find file,12,0,0.0,12,0,0.0,4,8,0.6666666666666666
jDMN: Core,org.omg.spec.dmn._20151101.model,TAssociationDirection,n/a,n/a,Could not find file,12,0,0.0,12,0,0.0,4,8,0.6666666666666666
jDMN: Core,org.omg.spec.dmn._20151101.model,TInvocation,n/a,n/a,Could not find file,7,0,0.0,7,0,0.0,0,7,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TInputClause,n/a,n/a,Could not find file,7,0,0.0,7,0,0.0,0,7,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,THitPolicy,n/a,n/a,Could not find file,16,0,0.0,16,0,0.0,4,12,0.75
jDMN: Core,org.omg.spec.dmn._20151101.model,TDecisionService,n/a,n/a,Could not find file,13,0,0.0,13,0,0.0,0,13,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TInputData,n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,0,4,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TItemDefinition,n/a,n/a,Could not find file,18,0,0.0,18,0,0.0,1,17,0.9444444444444444
jDMN: Core,org.omg.spec.dmn._20151101.model,TKnowledgeSource,n/a,n/a,Could not find file,13,0,0.0,13,0,0.0,0,13,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TImportedValues,n/a,n/a,Could not find file,7,0,0.0,7,0,0.0,0,7,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TAuthorityRequirement,n/a,n/a,Could not find file,10,0,0.0,10,0,0.0,0,10,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TOutputClause,n/a,n/a,Could not find file,13,0,0.0,13,0,0.0,0,13,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TDefinitions,n/a,n/a,Could not find file,12,26,0.6842105263157895,12,26,0.6842105263157895,0,38,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TList,n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,0,4,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TExpression,n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,0,4,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TDMNElement.ExtensionElements,n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,0,4,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TPerformanceIndicator,n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,0,4,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TInformationRequirement,n/a,n/a,Could not find file,7,0,0.0,7,0,0.0,0,7,1.0
jDMN: Core,org.omg.spec.dmn._20151101.model,TBusinessContextElement,n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,0,4,1.0
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.logic,Conjunction,,,,0,4,1.0,0,4,1.0,2,2,0.5
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.logic,LogicNegation,,,,0,4,1.0,0,4,1.0,2,2,0.5
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.logic,LogicExpression,,,,0,10,1.0,0,10,1.0,5,5,0.5
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.logic,Disjunction,,,,0,4,1.0,0,4,1.0,2,2,0.5
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast,NopVisitor,,,,0,51,1.0,0,51,1.0,51,0,0.0
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast,AbstractVisitor,,,,0,1,1.0,0,1,1.0,1,0,0.0
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast,Element,,,,0,1,1.0,0,1,1.0,0,1,1.0
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast,AbstractAnalysisVisitor,,,,6,5,0.45454545454545453,6,5,0.45454545454545453,11,0,0.0
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast,FEELContext,,,,9,6,0.4,9,6,0.4,15,0,0.0
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast,CloneVisitor,,,,10,101,0.9099099099099099,10,101,0.9099099099099099,111,0,0.0
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast,ASTFactory,,,,36,104,0.7428571428571429,36,104,0.7428571428571429,46,94,0.6714285714285714
jDMN: Core,com.gs.dmn.feel.analysis,AbstractFEELAnalyzer,,,,18,3,0.14285714285714285,18,3,0.14285714285714285,21,0,0.0
jDMN: Core,com.gs.dmn.feel.analysis,FEELAnalyzerImpl,,,,2,21,0.9130434782608695,2,21,0.9130434782608695,23,0,0.0
jDMN: Core,com.gs.dmn.log,NopBuildLogger,,,,3,2,0.4,3,2,0.4,0,5,1.0
jDMN: Core,com.gs.dmn.log,Slf4jBuildLogger,,,,6,5,0.45454545454545453,6,5,0.45454545454545453,0,11,1.0
jDMN: Core,com.gs.dmn.feel.lib.type.list,DefaultListType,,,,8,3,0.2727272727272727,8,3,0.2727272727272727,0,11,1.0
jDMN: Core,com.gs.dmn.runtime,MixedJavaTimeDMNBaseDecision,,,,1,8,0.8888888888888888,1,8,0.8888888888888888,9,0,0.0
jDMN: Core,com.gs.dmn.runtime,Context,,,,4,36,0.9,4,36,0.9,17,23,0.575
jDMN: Core,com.gs.dmn.runtime,PairComparator,,,,3,7,0.7,3,7,0.7,0,10,1.0
jDMN: Core,com.gs.dmn.runtime,Pair,,,,3,10,0.7692307692307693,3,10,0.7692307692307693,2,11,0.8461538461538461
jDMN: Core,com.gs.dmn.runtime,DMNType,,,,1,0,0.0,1,0,0.0,1,0,0.0
jDMN: Core,com.gs.dmn.runtime,Assert,,,,86,0,0.0,86,0,0.0,86,0,0.0
jDMN: Core,com.gs.dmn.runtime,PureJavaTimeDMNBaseDecision,,,,1,8,0.8888888888888888,1,8,0.8888888888888888,9,0,0.0
jDMN: Core,com.gs.dmn.runtime,DoubleMixedJavaTimeDMNBaseDecision,,,,1,8,0.8888888888888888,1,8,0.8888888888888888,9,0,0.0
jDMN: Core,com.gs.dmn.runtime,RuleOutput,,,,3,4,0.5714285714285714,3,4,0.5714285714285714,4,3,0.42857142857142855
jDMN: Core,com.gs.dmn.runtime,RuleOutputList,,,,30,19,0.3877551020408163,30,19,0.3877551020408163,12,37,0.7551020408163265
jDMN: Core,com.gs.dmn.runtime,LazyEval,,,,7,0,0.0,7,0,0.0,0,7,1.0
jDMN: Core,com.gs.dmn.runtime,DMNRuntimeException,,,,2,4,0.6666666666666666,2,4,0.6666666666666666,4,2,0.3333333333333333
jDMN: Core,com.gs.dmn.runtime,UniformJavaTimeDMNBaseDecision,,,,1,8,0.8888888888888888,1,8,0.8888888888888888,9,0,0.0
jDMN: Core,com.gs.dmn.runtime,DefaultDMNBaseDecision,,,,1,8,0.8888888888888888,1,8,0.8888888888888888,9,0,0.0
jDMN: Core,com.gs.dmn.feel.lib.type.time.uniform,ZonedTimeType,,,,53,3,0.05357142857142857,53,3,0.05357142857142857,56,0,0.0
jDMN: Core,com.gs.dmn.feel.lib.type.time.uniform,JavaTimeCalendarType,,,,42,3,0.06666666666666667,42,3,0.06666666666666667,45,0,0.0
jDMN: Core,com.gs.dmn.feel.lib.type.time.uniform,ZonedDateType,,,,54,3,0.05263157894736842,54,3,0.05263157894736842,57,0,0.0
jDMN: Core,com.gs.dmn.feel.lib.type.time.uniform,ZonedDateTimeType,,,,68,3,0.04225352112676056,68,3,0.04225352112676056,71,0,0.0
jDMN: Core,com.gs.dmn.feel.lib,DurationUtil,,,,12,6,0.3333333333333333,12,6,0.3333333333333333,18,0,0.0
jDMN: Core,com.gs.dmn.feel.lib,BigDecimalUtil,,,,77,52,0.40310077519379844,77,52,0.40310077519379844,25,104,0.8062015503875969
jDMN: Core,com.gs.dmn.feel.lib,DateUtil,,,,17,13,0.43333333333333335,17,13,0.43333333333333335,30,0,0.0
jDMN: Core,com.gs.dmn.feel.lib,DefaultFEELLib,,,,371,168,0.3116883116883117,358,181,0.3358070500927644,539,0,0.0
jDMN: Core,com.gs.dmn.feel.lib,MixedJavaTimeFEELLib,,,,325,218,0.4014732965009208,311,232,0.427255985267035,543,0,0.0
jDMN: Core,com.gs.dmn.feel.lib,DateAndTimeUtil,,,,68,20,0.22727272727272727,68,20,0.22727272727272727,88,0,0.0
jDMN: Core,com.gs.dmn.feel.lib,TimeUtil,,,,36,16,0.3076923076923077,36,16,0.3076923076923077,52,0,0.0
jDMN: Core,com.gs.dmn.feel.lib,StandardFEELLib,,,,2,3,0.6,2,3,0.6,5,0,0.0
jDMN: Core,com.gs.dmn.feel.lib,PureJavaTimeFEELLib,,,,381,184,0.3256637168141593,369,196,0.34690265486725663,565,0,0.0
jDMN: Core,com.gs.dmn.feel.lib,DoubleMixedJavaTimeFEELLib,,,,308,236,0.4338235294117647,292,252,0.4632352941176471,544,0,0.0
jDMN: Core,com.gs.dmn.feel.lib,StringEscapeUtil,,,,58,67,0.536,55,70,0.56,55,70,0.56
jDMN: Core,com.gs.dmn.feel.lib,DoubleUtil,,,,72,53,0.424,70,55,0.44,16,109,0.872
jDMN: Core,com.gs.dmn.feel.lib,BaseFEELLib,,,,148,13,0.08074534161490683,148,13,0.08074534161490683,161,0,0.0
jDMN: Core,com.gs.dmn.feel.lib,StringUtil,,,,18,75,0.8064516129032258,17,76,0.8172043010752689,2,91,0.978494623655914
jDMN: Core,com.gs.dmn.feel.lib,XMLDatataypeFactory,,,,3,1,0.25,3,1,0.25,4,0,0.0
jDMN: Core,com.gs.dmn.feel.lib,DateTimeUtil,,,,92,88,0.4888888888888889,84,96,0.5333333333333333,180,0,0.0
jDMN: Core,com.gs.dmn.feel.lib,UniformJavaTimeFEELLib,,,,286,198,0.4090909090909091,272,212,0.4380165289256198,484,0,0.0
jDMN: Core,com.gs.dmn.feel.lib,DurationUtil.new Throwable() {...},n/a,n/a,Could not find file,0,2,1.0,0,2,1.0,2,0,0.0
jDMN: Core,com.gs.dmn.runtime.listener,LoggingEventListener,,,,8,3,0.2727272727272727,8,3,0.2727272727272727,0,11,1.0
jDMN: Core,com.gs.dmn.runtime.listener,DRGElement,,,,0,16,1.0,0,16,1.0,0,16,1.0
jDMN: Core,com.gs.dmn.runtime.listener,CompositeListener,,,,16,0,0.0,16,0,0.0,0,16,1.0
jDMN: Core,com.gs.dmn.runtime.listener,Rule,,,,0,6,1.0,0,6,1.0,0,6,1.0
jDMN: Core,com.gs.dmn.runtime.listener,Arguments,,,,1,10,0.9090909090909091,1,10,0.9090909090909091,10,1,0.09090909090909091
jDMN: Core,com.gs.dmn.runtime.listener,NopEventListener,,,,6,0,0.0,6,0,0.0,0,6,1.0
jDMN: Core,com.gs.dmn.tck,TestCasesReader,,,,32,0,0.0,32,0,0.0,32,0,0.0
